#Distributed under the terms of the GNU General Public License version 2 
# or any later version.
#
# speller-regressions.txt
# This file contains example pairs of known speller bugs. It follows the
# same pattern as the src/typos.txt files, ie error and correction separated
# by a <tab> character:
# error<tab>correction
# Furthermore, this file contains correct entries that should be accepted
# as is - their format is:
# correct<tab>
# ie the correct word followed by a <tab> char, followed by new-line.
#
# The file should be extended with examples of all known bugs we have fixed,
# and can be used to ensure that we don't brake any old fixes in new releases.
# Also problematic patterns not yet properly handled should get test pairs here.
#
# It is possible, and encouraged, to add a comment with the relevant bug ID
# after each (group of) test case. Comments start with <tab>! or <tab>#.
#
# Format summary:
#
# error<tab>correction<tab>#comment
# correct<tab><tab>!comment
#
# Here's the start of the error<tab>correction part:
Barggomárnanin	Barggomárnánin	! compound with errors, no suggestion
Allaskåvllådåjmadagas	Allaskåvllådåjmadagás
Galileajávrregáttev	Galilea-jávrregáttev
barrnev	barnev
vidjor9jit	vidjurijt	#398 - vidjor9jit vs vidjurijt
maññel	maŋŋel	#427 - ń not part of word
mańńel	maŋŋel	#427 - ń not part of word
Nuorttaalij--guovlojn	Nuorttalijguovlojn	#482 - double hyphen
álggoálmmug--sisálggoálmmugij	álggoálmmugis-álggoálmmugij	#482 - double hyphen
bullar--dutkamin	polardutkamin	#482 - double hyphen
VG:an	VG:n	#503 - acro inflection
varresvuohtastasjåvnnå	varresvuodastasjåvnnå	#506 - doesn't follow comp-tags
VG:as	VG:s	#509 - accepts SUB-ed entries
VG:aj	VG:j	#509 - accepts SUB-ed entries
1983:as	1983:s	#509 - accepts SUB-ed entries
1983:aj	1983:j	#509 - accepts SUB-ed entries
Nijbegoasskem	Nijbbegoasskem	#511 - doesn't follow comp tags
bievdedåhpe	bievddedåhpe	#511 - doesn't follow comp tags
uvsagáldo	uksagáldo	#511 - doesn't follow comp tags
#
#
# Here's the start of the correct<tab> part (words that should be accepted):
dan		! missing pronoun
dáv		! missing pronoun
dát		! missing pronoun
Daj		! missing pronoun
Dajna		! missing pronoun
dájs		! missing pronoun
dasi		! missing pronoun
Dát		! missing pronoun
dájt		! missing pronoun
dássta		! missing pronoun
danna		! missing pronoun
divna		! missing pronoun
ietjá		! missing pronoun
guhtis		! missing pronoun
avtak		! missing pronoun
juoga		! missing pronoun
nuppev		! missing pronoun
mige		! missing pronoun
mavga		! missing pronoun
dakkirijt		! missing pronoun
juohkkahasj		! missing pronoun
ienebuv		! missing pronoun
ållo		#418 - missing numeral
akta		#418 - missing numeral
guokta		#418 - missing numeral
lågenanniellja		#481 - missing numeral
lågenanguokta		#481 - missing numeral
milliåvnå		#481 - missing numerals
milliåvnnå		#481 - missing numerals
lågenanniellja		#481 - missing numerals
vuostasj		! missing ordinal
Vuostasj		! missing ordinal
nuppev		! missing ordinal
goalmát		! missing ordinal
alvvásláhkáj		! adj+noun
buorredagojt		! adj+noun
Dálásjájggásasj		! adj+noun
dålusjájggásasj		! adj+noun
gievrasalmasj		#421 - adj-attr+noun
gievrasmuorra		#421 - adj-attr+noun
gievramuorra		#421 - adj-nom+noun
guhkaájggásattjat		! lexicalized compound
mælggatåhpadusán		! adj+noun
skihpahuodnahijn		! adj+noun
skihpasujtár		! adj+noun
garrasabmusit		#422 - adj->adv
bajedimij		! 3-syllable actio
gaskostibme		! 3-syllable actio
jållåribme		! 3-syllable actio
mierredimijt		! 3-syllable actio
åvddånimev		#420 - missing 3-syllabic actio
åvdåstibmáj		! 3-syllable actio N+Sg+Ill
jáddamahtes		! missing actio forms
riegádibme		! missing actio forms
vuolgadime		! missing actio forms
lånudim-		! actio compound form
oahppamdiededimev		! actio compound
riegádimgånågis		! actio compound
Allaskåvllådievnastusdåjmadahka		! 3-part compound
bielleájggeåhpadussaj		#419 - 3-part compound
oahppambiednikvuogádagá		! 3-part compound
stivrrimássjetjállagij		! 3-part compound
Iednegiellaoahppaábnnasa		! 3-part compound
Allaskåvllågähttjalus		! Swedish ä
allaskåvllågähttjalus		! Swedish ä
guovtekultuvralasj		! no hash at compound border
gus		! missing particles
Barggogaskostime		! missing compound
sebrudakalmasj		! missing compound
siellosujtov		! missing compound
åbmudaksiebrre		! missing compound
Svieriga		! missing names
Malmöj		! missing names
Svierigadárogielan		! name compound i Kintel och Korhon=vuonadár...med liten bok
älla		! strange suggestions
Nárvijkan		#407 - missing smj names
nælggot		#411 - ä not recognised
nälggot		#411 - ä not recognised
dæbbaga		#411 - ä not recognised
däbbaga		#411 - ä not recognised
vællahit		#411 - ä not recognised
vällahit		#411 - ä not recognised
gæhtjáj		#411 - ä not recognised
gähtjáj		#411 - ä not recognised
Skåvllådåjmadak		! compound
USA		#483 - missing bare abbrs
NSR		#483 - missing bare abbrs
PDF		#483 - missing bare abbrs
PDF:		#483 - missing bare abbrs
NSR-		#483 - missing bare abbrs
NSR:		#483 - missing bare abbrs
Áila		#484 - missing names
Áile		#484 - missing names
Áilegas		#484 - missing names
Áilegasjohka		#484 - missing names
Áilegasjávri		#484 - missing names
Áilegasmuotki		#484 - missing names
Áilegasvuopmi		#484 - missing names
Áilegasvárri		#484 - missing names
Áilegasčohkka		#484 - missing names
Áili		#484 - missing names
Áillehašnjunni		#484 - missing names
Áillehašvádjájohka		#484 - missing names
Áillohaš		#484 - missing names
Áillonieida		#484 - missing names
Áilloš		#484 - missing names
Áillun		#484 - missing names
máhkak		#496 - unrecognised clitics
månge		#496 - unrecognised clitics
bijllage		#496 - unrecognised clitics
bijllak		#496 - unrecognised clitics
vuojnávge		#496 - unrecognised clitics
gievrrak		#496 - unrecognised clitics
gievrrage		#496 - unrecognised clitics
måjge		#496 - unrecognised clitics
munjik		#496 - unrecognised clitics
dakkirge		#496 - unrecognised clitics
VG		#503 - nom and comp of acro
VG-kafean		#503 - nom and comp of acro
VG-biebbmo		#503 - nom and comp of acro
varresvuodastasjåvnnå		#506 - doesn't follow comp-tags
fámon		#507 - unrec words
ájge		#507 - unrec words
ájgev		#507 - unrec words
ájgij		#507 - unrec words
vissa		#507 - unrec words
siebrijs		#507 - unrec words
siebrre		#507 - unrec words
Visa-		#507 - unrec words
báŋŋka		#507 - unrec words
báŋkas		#507 - unrec words
báŋŋkaj		#507 - unrec words
biehtsemánno		#507 - unrec words
joarkkaskåvlåv		#507 - unrec words
skåvlås		#507 - unrec words
skåvlåsj		#507 - unrec words
álmmukallaskåvlån		#507 - unrec words
allaskåvllåj		#507 - unrec words
isetábnas		#507 - unrec words
biele		#507 - unrec words
mierredimájgijt		#507 - unrec words
muorra		#507 - unrec words
suohkanin		#507 - unrec words
