adnem	adnet+V+TV+Der/NomAct+N+Sg+Nom

bajedibme	bajedit+V+TV+Der/NomAct+N+Sg+Nom

biledibme	biledit+V+TV+Der/NomAct+N+Sg+Nom

ládam	ládat+V+TV+Der/NomAct+N+Sg+Nom

málestibme	málestit+V+TV+Der/NomAct+N+Sg+Nom

sebrudahttem	sebrudahttet+V+TV+Der/NomAct+N+Sg+Nom

tsieggim	tsieggit+V+TV+Der/NomAct+N+Sg+Nom

vetsadibme	vetsadit+V+TV+Der/NomAct+N+Sg+Nom

årrom	årrot+V+IV+Der/NomAct+N+Sg+Nom


addnejuogos	addne+N+NomAg+Cmp/SgNom+Cmp#juogos+N+Sg+Nom

adnembagádus	adnet+V+TV+Der/NomAct+N+Cmp/SgNom+Cmp#bagádus+N+Sg+Nom

adnemriektá	adnet+V+TV+Der/NomAct+N+Cmp/SgNom+Cmp#riektá+N+Sg+Nom

adnogálvvo	adno+N+Cmp/SgNom+Cmp#gálvvo+N+Sg+Nom

ahkedagádus	ahke+N+Cmp/SgNom+Cmp#dagádus+N+Sg+Nom

arábakgiella	arábak+N+Cmp/SgNom+Cmp#giella+N+Sg+Nom

bijllavuobdde	bijlla+N+Cmp/SgNom+Cmp#vuobddet+V+TV+Der/NomAg+N+Sg+Nom

bijllavuoddje	bijlla+N+Cmp/SgNom+Cmp#vuoddje+N+NomAg+Sg+Nom

birásbargge	birás+N+Cmp/SgNom+Cmp#bargge+N+NomAg+Sg+Nom

bájnnoblyánnta	bájnno+N+Cmp/SgNom+Cmp#blyánnta+N+Sg+Nom

dálvvemánno	dálvve+N+Cmp/SgNom+Cmp#mánno+N+Sg+Nom

dållårádde	dållå+N+Cmp/SgNom+Cmp#radde+N+Sg+Nom

dållåságge	dållå+N+Cmp/SgNom+Cmp#ságge+N+Sg+Nom

garrametálla	garras+A+Cmp/Attr+Cmp#metálla+N+Sg+Nom

girjjekatalåvggå	girjje+N+Cmp/SgNom+Cmp#katalåvggå+N+Sg+Nom

guollebivdde	guolle+N+Cmp/SgNom+Cmp#bivdde+N+NomAg+Sg+Nom

hæsstaniŋŋelis	hæssta+N+Cmp/SgNom+Cmp#niŋŋelis+N+Sg+Nom

hæsstaskuovva	hæssta+N+Cmp/SgNom+Cmp#skuovva+N+Sg+Nom

jábmabárro	jámas+A+Cmp/Attr+Cmp#bárro+N+Sg+Nom

jábmaoadtje	jámas+A+Cmp/Attr+Cmp#oadtje+N+Sg+Nom

jábmatjuokkes	jámas+A+Cmp/Attr+Cmp#tjuokkes+N+Sg+Nom

jábmemdávdda	jábmem+N+Cmp/SgNom+Cmp#dávdda+N+Sg+Nom

káffagåjkko	káffa+v1+N+Cmp/SgNom+Cmp#gåjkko+N+Sg+Nom

káffavuossa	káffa+v1+N+Cmp/SgNom+Cmp#vuossa+N+Sg+Nom

kárttagåvvå	kártta+N+Cmp/SgNom+Cmp#gåvvå+N+Sg+Nom

kårttåspælla	kårttå+v1+N+Cmp/SgNom+Cmp#spælla+N+Sg+Nom

luonndofilosofijja	luonndo+N+Cmp/SgNom+Cmp#filosofijja+N+Sg+Nom

láhkasuodjalus	láhka+N+Cmp/SgNom+Cmp#suodjalus+N+Sg+Nom

manomiehtar	

meierijjabuvta	meierijja+N+Cmp/SgNom+Cmp#buvta+N+Sg+Nom

miesenáhkke	miesse+N+Cmp/SgGen+Cmp#náhkke+N+Sg+Nom

motorvuoján	motåvrrå+N+Cmp#vuoján+N+Sg+Nom

muorrabihttá	muorra+N+Cmp/SgNom+Cmp#bihttá+N+Sg+Nom

muorragieres	muorra+N+Cmp/SgNom+Cmp#gieres+N+Sg+Nom

máksembiejvve	máksem+N+Cmp/SgNom+Cmp#biejvve+N+Sg+Nom

máttadákte	madda+N+Cmp/SgGen+Cmp#dákte+N+Sg+Nom

nammabiejvve	namma+N+Cmp/SgNom+Cmp#biejvve+N+Sg+Nom

nammagilkor	namma+N+Cmp/SgNom+Cmp#gilkor+N+Sg+Nom

nieljetjiegakjiegŋa	nieljetjiegak+N+Cmp/SgNom+Cmp#jiegŋa+N+Sg+Nom

njálmmeoalle	njálmme+N+Cmp/SgNom+Cmp#oalle+N+Sg+Nom

nuorjonáhkke	nuorjjo+N+Cmp/SgGen+Cmp#náhkke+N+Sg+Nom

nuorttadavve	nuortta+N+Cmp/SgNom+Cmp#davve+N+Sg+Nom

nállomuorra	nállo+N+Cmp/SgNom+Cmp#muorra+N+Sg+Nom

oahppamstratesjijja	oahppat+V+TV+Der/NomAct+N+Cmp/SgNom+Cmp#stratesjijja+N+Sg+Nom

oahppostáhtus	oahppo+N+Cmp/SgNom+Cmp#stáhtus+N+Sg+Nom

oajvvesjiehtadus	oajvve+N+Cmp/SgNom+Cmp#sjiehtadus+N+Sg+Nom

objektsubordinasjåvnnå	objækta+N+Cmp#subordinasjåvnnå+N+Sg+Nom

persongåvvå	persåvnnå+N+Cmp#gåvvå+N+Sg+Nom

rahtebielle	rahte+N+Cmp/SgGen+Cmp#bielle+N+Sg+Nom
rahtebielle	rahte+N+Cmp/SgNom+Cmp#bielle+N+Sg+Nom

resurssabiolåvggå	resurssa+N+Cmp/SgNom+Cmp#biolåvggå+N+Sg+Nom

rievtesvuodanammadus	rievtesvuohta+N+Cmp/SgGen+Cmp#nammadus+N+Sg+Nom

rievvársluoggo	rievvár+N+Cmp/SgNom+Cmp#sluoggo+N+Sg+Nom

rissjaságge	rissja+N+Cmp/SgNom+Cmp#ságge+N+Sg+Nom

roahttotjiektjam	roahtto+N+Cmp/SgNom+Cmp#tjiektjam+N+Sg+Nom

ruhtabihttá	ruhta+N+Cmp/SgNom+Cmp#bihttá+N+Sg+Nom

ruhtatjiehká	ruhtta+N+Cmp/SgGen+Cmp#tjiehká+N+Sg+Nom
ruhtatjiehká	ruhtta+N+Cmp/SgGen+Cmp#tjiehka+N+Sg+Nom
ruhtatjiehká	ruhta+N+Cmp/SgNom+Cmp#tjiehká+N+Sg+Nom
ruhtatjiehká	ruhta+N+Cmp/SgNom+Cmp#tjiehka+N+Sg+Nom

ruohkolávllo	ruohko+N+Cmp/SgNom+Cmp#lávllo+N+Sg+Nom
ruohkolávllo	ruohko+A+Attr+Cmp#lávllo+N+Sg+Nom

rádjesuodjalus	rádje+N+Cmp/SgNom+Cmp#suodjalus+N+Sg+Nom

rájddogåvvå	rájddo+N+Cmp/SgNom+Cmp#gåvvå+N+Sg+Nom

rámmakonvensjåvnnå	rámma+N+Cmp/SgNom+Cmp#konvensjåvnnå+N+Sg+Nom

sallafágge	salla+N+Cmp/SgNom+Cmp#fágge+N+Sg+Nom

sarvaduollje	sarvva+N+Cmp/SgGen+Cmp#duollje+N+Sg+Nom

sassneavve	sassne+N+Cmp/SgNom+Cmp#avve+N+Sg+Nom

sekkatjoalle	siegge+A+Cmp/Attr+Cmp#tjoalle+N+Sg+Nom

siedjagoahte	siedja+N+Cmp/SgNom+Cmp#goahte+N+Sg+Nom
 
siehppatjalmme	siehppa+N+Cmp/SgNom+Cmp#tjalmme+N+Sg+Nom

sielggeoalle	sielgge+N+Cmp/SgNom+Cmp#oalle+N+Sg+Nom

sierradille	sierra+A+Cmp/Attr+Cmp#dille+N+Sg+Nom

sijddalasse	sijdda+N+Cmp/SgNom+Cmp#lasse+N+Sg+Nom

